Time, Velocity, Acceleration, Distance
5.0000000000e-06, 0.671, 9.793, 0.000
6.0000000000e-06, 0.787, 9.792, 0.000
6.0000000000e-06, 0.950, 9.790, 0.000
7.0000000000e-06, 1.032, 9.790, 0.000
4.0000000000e-06, 1.135, 9.789, 0.000
5.0000000000e-06, 1.217, 9.788, 0.000
6.0000000000e-06, 1.299, 9.787, 0.000
6.0000000000e-06, 1.380, 9.786, 0.000
4.0000000000e-06, 1.475, 9.785, 0.000
5.0000000000e-06, 1.638, 9.783, 0.000
5.0000000000e-06, 1.720, 9.783, 0.000
4.0000000000e-06, 1.801, 9.782, 0.000
4.0000000000e-06, 1.883, 9.781, 0.000
5.0000000000e-06, 1.964, 9.780, 0.000
6.0000000000e-06, 2.127, 9.779, 0.000
5.0000000000e-06, 2.209, 9.778, 0.000
7.0000000000e-06, 2.290, 9.777, 0.000
5.0000000000e-06, 2.372, 9.776, 0.000
5.0000000000e-06, 2.453, 9.775, 0.000
6.0000000000e-06, 2.616, 9.774, 0.000
5.0000000000e-06, 2.698, 9.773, 0.000
5.0000000000e-06, 2.779, 9.772, 0.000
5.0000000000e-06, 2.860, 9.771, 0.000
5.0000000000e-06, 2.942, 9.770, 0.000
5.0000000000e-06, 3.105, 9.769, 0.000
6.0000000000e-06, 3.186, 9.768, 0.000
6.0000000000e-06, 3.267, 9.767, 0.000
6.0000000000e-06, 3.349, 9.766, 0.000
5.0000000000e-06, 3.430, 9.766, 0.000
3.0000000000e-06, 3.593, 9.764, 0.000
4.0000000000e-06, 3.674, 9.763, 0.000
6.0000000000e-06, 3.756, 9.762, 0.000
6.0000000000e-06, 3.837, 9.761, 0.000
6.0000000000e-06, 3.918, 9.761, 0.000
6.0000000000e-06, 4.081, 9.759, 0.000
5.0000000000e-06, 4.162, 9.758, 0.000
6.0000000000e-06, 4.244, 9.757, 0.000
5.0000000000e-06, 4.325, 9.757, 0.000
5.0000000000e-06, 4.406, 9.756, 0.000
6.0000000000e-06, 4.569, 9.754, 0.000
6.0000000000e-06, 4.650, 9.753, 0.000
5.0000000000e-06, 4.731, 9.753, 0.000
5.0000000000e-06, 4.813, 9.752, 0.000
7.0000000000e-06, 4.894, 9.751, 0.000
5.0000000000e-06, 5.056, 9.749, 0.000
4.0000000000e-06, 5.138, 9.749, 0.000
6.0000000000e-06, 5.219, 9.748, 0.000
5.0000000000e-06, 5.300, 9.769, 0.000
5.0000000000e-06, 5.382, 9.755, 0.000
6.0000000000e-06, 5.544, 9.747, 0.000
4.0000000000e-06, 5.625, 9.744, 0.000
6.0000000000e-06, 5.706, 9.743, 0.000
5.0000000000e-06, 5.788, 9.805, 0.000
6.0000000000e-06, 5.870, 9.814, 0.000
4.0000000000e-06, 6.033, 9.785, 0.000
5.0000000000e-06, 6.114, 9.778, 0.000
6.0000000000e-06, 6.020, 11.340, 0.000
5.0000000000e-06, 5.387, 75.963, 0.000
6.0000000000e-06, 4.813, 68.920, 0.000
6.0000000000e-06, 3.806, 57.735, 0.000
5.0000000000e-06, 3.393, 49.544, 0.000
5.0000000000e-06, 0.405, 358.539, 0.000
5.0000000000e-06, 0.323, 37.844, 0.000
4.0000000000e-06, 0.318, 32.324, 0.000
5.0000000000e-06, 0.158, 9.363, 0.000
4.0000000000e-06, 0.161, 4.530, 0.000
5.0000000000e-06, 0.183, 3.199, 0.000
5.0000000000e-06, 0.196, 2.580, 0.000
5.0000000000e-06, 0.202, 1.044, 0.000
5.0000000000e-06, 0.221, 1.091, 0.000
5.0000000000e-06, 0.228, 0.899, 0.000
5.0000000000e-06, 0.233, 0.728, 0.000
4.0000000000e-06, 0.238, 0.578, 0.000
5.0000000000e-06, 0.241, 0.443, 0.000
5.0000000000e-06, 0.245, 0.224, 0.000
4.0000000000e-06, 0.245, 0.152, 0.000
4.0000000000e-06, 0.245, 0.131, 0.000
6.0000000000e-06, 0.244, 0.162, 0.000
4.0000000000e-06, 0.242, 0.216, 0.000
4.0000000000e-06, 0.238, 0.325, 0.000
5.0000000000e-06, 0.235, 0.373, 0.000
5.0000000000e-06, 0.231, 0.415, 0.000
5.0000000000e-06, 0.228, 0.454, 0.000
4.0000000000e-06, 0.224, 0.487, 0.000
6.0000000000e-06, 0.215, 0.539, 0.000
6.0000000000e-06, 0.210, 0.559, 0.000
6.0000000000e-06, 0.205, 0.574, 0.000
5.0000000000e-06, 0.201, 0.588, 0.000
6.0000000000e-06, 0.196, 0.598, 0.000
6.0000000000e-06, 0.185, 0.610, 0.000
4.0000000000e-06, 0.180, 0.612, 0.000
6.0000000000e-06, 0.175, 0.611, 0.000
6.0000000000e-06, 0.170, 0.611, 0.000
6.0000000000e-06, 0.165, 0.607, 0.000
6.0000000000e-06, 0.155, 0.597, 0.000
6.0000000000e-06, 0.150, 0.590, 0.000
5.0000000000e-06, 0.145, 0.581, 0.000
5.0000000000e-06, 0.141, 0.573, 0.000
5.0000000000e-06, 0.136, 0.563, 0.000
6.0000000000e-06, 0.127, 0.542, 0.000
5.0000000000e-06, 0.122, 0.530, 0.000
5.0000000000e-06, 0.118, 0.518, 0.000
4.0000000000e-06, 0.114, 0.506, 0.000
5.0000000000e-06, 0.110, 0.494, 0.000
6.0000000000e-06, 0.102, 0.468, 0.000
6.0000000000e-06, 0.098, 0.456, 0.000
5.0000000000e-06, 0.094, 0.444, 0.000
6.0000000000e-06, 0.091, 0.429, 0.000
5.0000000000e-06, 0.087, 0.460, 0.000
7.0000000000e-06, 0.080, 0.569, 0.000
5.0000000000e-06, 0.077, 0.538, 0.000
5.0000000000e-06, 0.074, 0.426, 0.000
5.0000000000e-06, 0.071, 0.367, 0.000
5.0000000000e-06, 0.068, 0.344, 0.000
5.0000000000e-06, 0.063, 0.328, 0.000
5.0000000000e-06, 0.060, 0.313, 0.000
5.0000000000e-06, 0.058, 0.302, 0.000
5.0000000000e-06, 0.055, 0.290, 0.000
6.0000000000e-06, 0.053, 0.281, 0.000
5.0000000000e-06, 0.048, 0.260, 0.000
7.0000000000e-06, 0.046, 0.250, 0.000
5.0000000000e-06, 0.044, 0.241, 0.000
5.0000000000e-06, 0.042, 0.233, 0.000
5.0000000000e-06, 0.041, 0.223, 0.000
6.0000000000e-06, 0.037, 0.205, 0.000
6.0000000000e-06, 0.035, 0.197, 0.000
5.0000000000e-06, 0.034, 0.190, 0.000
4.0000000000e-06, 0.032, 0.182, 0.000
5.0000000000e-06, 0.031, 0.176, 0.000
6.0000000000e-06, 0.028, 0.161, 0.000
6.0000000000e-06, 0.027, 0.154, 0.000
6.0000000000e-06, 0.026, 0.147, 0.000
7.0000000000e-06, 0.025, 0.141, 0.000
6.0000000000e-06, 0.024, 0.137, 0.000
5.0000000000e-06, 0.021, 0.126, 0.000
6.0000000000e-06, 0.020, 0.119, 0.000
5.0000000000e-06, 0.020, 0.113, 0.000
6.0000000000e-06, 0.019, 0.108, 0.000
5.0000000000e-06, 0.018, 0.106, 0.000
5.0000000000e-06, 0.016, 0.096, 0.000
6.0000000000e-06, 0.015, 0.091, 0.000
5.0000000000e-06, 0.015, 0.087, 0.000
7.0000000000e-06, 0.014, 0.082, 0.000
5.0000000000e-06, 0.013, 0.079, 0.000
6.0000000000e-06, 0.012, 0.073, 0.000
5.0000000000e-06, 0.012, 0.069, 0.000
6.0000000000e-06, 0.011, 0.066, 0.000
5.0000000000e-06, 0.011, 0.063, 0.000
5.0000000000e-06, 0.010, 0.061, 0.000
6.0000000000e-06, 0.009, 0.055, 0.000
7.0000000000e-06, 0.009, 0.053, 0.000
4.0000000000e-06, 0.009, 0.049, 0.000
5.0000000000e-06, 0.008, 0.048, 0.000
6.0000000000e-06, 0.008, 0.045, 0.000
5.0000000000e-06, 0.007, 0.045, 0.000
6.0000000000e-06, 0.007, 0.040, 0.000
6.0000000000e-06, 0.007, 0.037, 0.000
5.0000000000e-06, 0.006, 0.036, 0.000
5.0000000000e-06, 0.006, 0.034, 0.000
7.0000000000e-06, 0.006, 0.031, 0.000
4.0000000000e-06, 0.005, 0.030, 0.000
6.0000000000e-06, 0.005, 0.028, 0.000
5.0000000000e-06, 0.005, 0.027, 0.000
6.0000000000e-06, 0.005, 0.027, 0.000
6.0000000000e-06, 0.004, 0.045, 0.000
5.0000000000e-06, 0.003, 0.023, 0.000
5.0000000000e-06, 0.003, 0.022, 0.000
6.0000000000e-06, 0.003, 0.019, 0.000
4.0000000000e-06, 0.003, 0.019, 0.000
6.0000000000e-06, 0.003, 0.017, 0.000
6.0000000000e-06, 0.002, 0.016, 0.000
6.0000000000e-06, 0.002, 0.016, 0.000
6.0000000000e-06, 0.002, 0.015, 0.000
5.0000000000e-06, 0.002, 0.013, 0.000
5.0000000000e-06, 0.002, 0.013, 0.000
6.0000000000e-06, 0.002, 0.012, 0.000
6.0000000000e-06, 0.002, 0.012, 0.000
6.0000000000e-06, 0.002, 0.012, 0.000
4.0000000000e-06, 0.001, 0.068, 0.000
5.0000000000e-06, 0.001, 0.059, 0.000
5.0000000000e-06, 0.001, 0.009, 0.000
5.0000000000e-06, 0.001, 0.010, 0.000
6.0000000000e-06, 0.001, 0.009, 0.000
5.0000000000e-06, 0.001, 0.006, 0.000
4.0000000000e-06, 0.001, 0.008, 0.000
4.0000000000e-06, 0.001, 0.007, 0.000
5.0000000000e-06, 0.001, 0.006, 0.000
5.0000000000e-06, 0.001, 0.006, 0.000
5.0000000000e-06, 0.001, 0.006, 0.000
5.0000000000e-06, 0.001, 0.006, 0.000
5.0000000000e-06, 0.001, 0.005, 0.000
6.0000000000e-06, 0.001, 0.005, 0.000
6.0000000000e-06, 0.001, 0.005, 0.000
5.0000000000e-06, 0.001, 0.005, 0.000
4.0000000000e-06, 0.000, 0.004, 0.000
5.0000000000e-06, 0.000, 0.003, 0.000
7.0000000000e-06, 0.000, 0.003, 0.000
6.0000000000e-06, 0.000, 0.004, 0.000
5.0000000000e-06, 0.000, 0.003, 0.000
5.0000000000e-06, 0.000, 0.003, 0.000
5.0000000000e-06, 0.000, 0.002, 0.000
6.0000000000e-06, 0.000, 0.003, 0.000
4.0000000000e-06, 0.000, 0.002, 0.000
6.0000000000e-06, 0.000, 0.002, 0.000
6.0000000000e-06, 0.000, 0.001, 0.000
5.0000000000e-06, 0.000, 0.002, 0.000
6.0000000000e-06, 0.000, 0.002, 0.000
6.0000000000e-06, 0.000, 0.002, 0.000
5.0000000000e-06, 0.000, 0.001, 0.000
5.0000000000e-06, 0.000, 0.003, 0.000
5.0000000000e-06, 0.000, 0.002, 0.000
6.0000000000e-06, 0.000, 0.000, 0.000
6.0000000000e-06, 0.000, 0.002, 0.000
5.0000000000e-06, 0.000, 0.001, 0.000
5.0000000000e-06, 0.000, 0.001, 0.000
5.0000000000e-06, 0.000, 0.001, 0.000
6.0000000000e-06, 0.000, 0.001, 0.000
5.0000000000e-06, 0.000, 0.001, 0.000
4.0000000000e-06, 0.000, 0.001, 0.000
6.0000000000e-06, 0.000, 0.002, 0.000
6.0000000000e-06, 0.000, 0.000, 0.000
5.0000000000e-06, 0.000, 0.000, 0.000
4.0000000000e-06, 0.000, 0.001, 0.000
5.0000000000e-06, 0.000, 0.001, 0.000
4.0000000000e-06, 0.000, 0.001, 0.000
6.0000000000e-06, 0.000, 0.001, 0.000
4.0000000000e-06, 0.000, 0.001, 0.000
4.0000000000e-06, 0.001, 0.078, 0.000
5.0000000000e-06, 0.000, 0.095, 0.000
5.0000000000e-06, 0.000, 0.001, 0.000
6.0000000000e-06, 0.000, 0.001, 0.000
4.0000000000e-06, 0.000, 0.054, 0.000
6.0000000000e-06, 0.000, 0.001, 0.000
5.0000000000e-06, 0.000, 0.001, 0.000
7.0000000000e-06, 0.000, 0.002, 0.000
5.0000000000e-06, 0.000, 0.001, 0.000
5.0000000000e-06, 0.000, 0.002, 0.000
5.0000000000e-06, 0.000, 0.002, 0.000
6.0000000000e-06, 0.000, 0.003, 0.000
5.0000000000e-06, 0.000, 0.000, 0.000
5.0000000000e-06, 0.000, 0.001, 0.000
7.0000000000e-06, 0.001, 0.075, 0.000
6.0000000000e-06, 0.000, 0.144, 0.000
5.0000000000e-06, 0.000, 0.001, 0.000
4.0000000000e-06, 0.000, 0.001, 0.000
5.0000000000e-06, 0.000, 0.001, 0.000
4.0000000000e-06, 0.000, 0.001, 0.000
5.0000000000e-06, 0.000, 0.001, 0.000
5.0000000000e-06, 0.000, 0.001, 0.000
4.0000000000e-06, 0.000, 0.001, 0.000
6.0000000000e-06, 0.000, 0.000, 0.000
6.0000000000e-06, 0.000, 0.001, 0.000
5.0000000000e-06, 0.000, 0.001, 0.000
5.0000000000e-06, 0.000, 0.001, 0.000
5.0000000000e-06, 0.000, 0.006, 0.000
5.0000000000e-06, 0.000, 0.008, 0.000
5.0000000000e-06, 0.000, 0.001, 0.000
4.0000000000e-06, 0.000, 0.000, 0.000
5.0000000000e-06, 0.000, 0.001, 0.000
6.0000000000e-06, 0.000, 0.000, 0.000
6.0000000000e-06, 0.000, 0.000, 0.000
5.0000000000e-06, 0.000, 0.000, 0.000
6.0000000000e-06, 0.000, 0.000, 0.000
6.0000000000e-06, 0.000, 0.000, 0.000
4.0000000000e-06, 0.000, 0.000, 0.000
4.0000000000e-06, 0.000, 0.001, 0.000
5.0000000000e-06, 0.000, 0.000, 0.000
5.0000000000e-06, 0.000, 0.000, 0.000
6.0000000000e-06, 0.000, 0.000, 0.000
5.0000000000e-06, 0.000, 0.002, 0.000
5.0000000000e-06, 0.000, 0.001, 0.000
6.0000000000e-06, 0.000, 0.001, 0.000
4.0000000000e-06, 0.000, 0.000, 0.000
5.0000000000e-06, 0.000, 0.001, 0.000
5.0000000000e-06, 0.000, 0.000, 0.000
5.0000000000e-06, 0.000, 0.001, 0.000
6.0000000000e-06, 0.000, 0.000, 0.000
6.0000000000e-06, 0.000, 0.001, 0.000
4.0000000000e-06, 0.000, 0.000, 0.000
4.0000000000e-06, 0.000, 0.001, 0.000
5.0000000000e-06, 0.000, 0.001, 0.000
4.0000000000e-06, 0.000, 0.001, 0.000
5.0000000000e-06, 0.000, 0.000, 0.000
6.0000000000e-06, 0.000, 0.000, 0.000
5.0000000000e-06, 0.000, 0.001, 0.000
6.0000000000e-06, 0.000, 0.001, 0.000
5.0000000000e-06, 0.000, 0.001, 0.000
4.0000000000e-06, 0.000, 0.001, 0.000
5.0000000000e-06, 0.000, 0.000, 0.000
6.0000000000e-06, 0.000, 0.001, 0.000
6.0000000000e-06, 0.000, 0.000, 0.000
5.0000000000e-06, 0.000, 0.000, 0.000
6.0000000000e-06, 0.000, 0.000, 0.000
6.0000000000e-06, 0.000, 0.000, 0.000
7.0000000000e-06, 0.000, 0.000, 0.000
5.0000000000e-06, 0.000, 0.000, 0.000
5.0000000000e-06, 0.000, 0.000, 0.000
5.0000000000e-06, 0.000, 0.000, 0.000
6.0000000000e-06, 0.000, 0.000, 0.000
5.0000000000e-06, 0.000, 0.000, 0.000
6.0000000000e-06, 0.000, 0.001, 0.000
5.0000000000e-06, 0.000, 0.001, 0.000
6.0000000000e-06, 0.000, 0.001, 0.000
4.0000000000e-06, 0.000, 0.000, 0.000
7.0000000000e-06, 0.000, 0.000, 0.000
6.0000000000e-06, 0.000, 0.001, 0.000
4.0000000000e-06, 0.000, 0.000, 0.000
6.0000000000e-06, 0.000, 0.000, 0.000
7.0000000000e-06, 0.000, 0.000, 0.000
4.0000000000e-06, 0.000, 0.000, 0.000
5.0000000000e-06, 0.000, 0.000, 0.000
5.0000000000e-06, 0.000, 0.000, 0.000
6.0000000000e-06, 0.000, 0.000, 0.000
6.0000000000e-06, 0.000, 0.000, 0.000
5.0000000000e-06, 0.000, 0.000, 0.000
6.0000000000e-06, 0.000, 0.000, 0.000
7.0000000000e-06, 0.000, 0.000, 0.000
7.0000000000e-06, 0.000, 0.000, 0.000
5.0000000000e-06, 0.000, 0.000, 0.000
6.0000000000e-06, 0.000, 0.000, 0.000
7.0000000000e-06, 0.000, 0.000, 0.000
5.0000000000e-06, 0.000, 0.000, 0.000
7.0000000000e-06, 0.000, 0.000, 0.000
4.0000000000e-06, 0.000, 0.000, 0.000
5.0000000000e-06, 0.000, 0.000, 0.000
4.0000000000e-06, 0.000, 0.000, 0.000
5.0000000000e-06, 0.000, 0.000, 0.000
4.0000000000e-06, 0.000, 0.000, 0.000
5.0000000000e-06, 0.000, 0.000, 0.000
7.0000000000e-06, 0.000, 0.000, 0.000
5.0000000000e-06, 0.000, 0.000, 0.000
4.0000000000e-06, 0.000, 0.000, 0.000
5.0000000000e-06, 0.000, 0.000, 0.000
4.0000000000e-06, 0.000, 0.000, 0.000
5.0000000000e-06, 0.000, 0.012, 0.000
5.0000000000e-06, 0.000, 0.014, 0.000
4.0000000000e-06, 0.000, 0.000, 0.000
6.0000000000e-06, 0.000, 0.000, 0.000
5.0000000000e-06, 0.001, 0.104, 0.000
6.0000000000e-06, 0.000, 0.002, 0.000
5.0000000000e-06, 0.000, 0.002, 0.000
5.0000000000e-06, 0.000, 0.182, 0.000
6.0000000000e-06, 0.000, 0.002, 0.000
5.0000000000e-06, 0.000, 0.003, 0.000
6.0000000000e-06, 0.001, 0.109, 0.000
6.0000000000e-06, 0.000, 0.134, 0.000
4.0000000000e-06, 0.000, 0.003, 0.000
6.0000000000e-06, 0.000, 0.002, 0.000
5.0000000000e-06, 0.000, 0.003, 0.000
6.0000000000e-06, 0.000, 0.002, 0.000
6.0000000000e-06, 0.000, 0.001, 0.000
4.0000000000e-06, 0.000, 0.002, 0.000
6.0000000000e-06, 0.000, 0.002, 0.000
7.0000000000e-06, 0.000, 0.001, 0.000
6.0000000000e-06, 0.000, 0.001, 0.000
5.0000000000e-06, 0.000, 0.001, 0.000
6.0000000000e-06, 0.000, 0.001, 0.000
5.0000000000e-06, 0.000, 0.001, 0.000
5.0000000000e-06, 0.000, 0.001, 0.000
5.0000000000e-06, 0.000, 0.001, 0.000
6.0000000000e-06, 0.000, 0.001, 0.000
5.0000000000e-06, 0.000, 0.014, 0.000
5.0000000000e-06, 0.000, 0.001, 0.000
5.0000000000e-06, 0.000, 0.001, 0.000
6.0000000000e-06, 0.000, 0.001, 0.000
7.0000000000e-06, 0.000, 0.001, 0.000
6.0000000000e-06, 0.000, 0.001, 0.000
4.0000000000e-06, 0.000, 0.001, 0.000
2.0000000000e-06, 0.000, 0.001, 0.000
4.0000000000e-06, 0.000, 0.001, 0.000
5.0000000000e-06, 0.000, 0.001, 0.000
5.0000000000e-06, 0.000, 0.070, 0.000
5.0000000000e-06, 0.000, 0.070, 0.000
5.0000000000e-06, 0.000, 0.211, 0.000
6.0000000000e-06, 0.000, 0.211, 0.000
6.0000000000e-06, 0.000, 0.193, 0.000
5.0000000000e-06, 0.000, 0.004, 0.000
5.0000000000e-06, 0.000, 0.004, 0.000
6.0000000000e-06, 0.000, 0.004, 0.000
5.0000000000e-06, 0.000, 0.003, 0.000
6.0000000000e-06, 0.000, 0.003, 0.000
6.0000000000e-06, 0.000, 0.003, 0.000
4.0000000000e-06, 0.000, 0.002, 0.000
5.0000000000e-06, 0.000, 0.002, 0.000
6.0000000000e-06, 0.000, 0.002, 0.000
7.0000000000e-06, 0.000, 0.002, 0.000
6.0000000000e-06, 0.000, 0.002, 0.000
5.0000000000e-06, 0.000, 0.001, 0.000
6.0000000000e-06, 0.000, 0.002, 0.000
6.0000000000e-06, 0.000, 0.001, 0.000
6.0000000000e-06, 0.000, 0.001, 0.000
6.0000000000e-06, 0.000, 0.001, 0.000
7.0000000000e-06, 0.000, 0.001, 0.000
6.0000000000e-06, 0.000, 0.001, 0.000
6.0000000000e-06, 0.000, 0.001, 0.000
4.0000000000e-06, 0.000, 0.001, 0.000
3.0000000000e-06, 0.000, 0.001, 0.000
2.0000000000e-06, 0.000, 0.001, 0.000
2.0000000000e-06, 0.000, 0.001, 0.000
2.0000000000e-06, 0.000, 0.001, 0.000
2.0000000000e-06, 0.000, 0.001, 0.000
2.0000000000e-06, 0.000, 0.001, 0.000
3.0000000000e-06, 0.000, 0.001, 0.000
5.0000000000e-06, 0.000, 0.002, 0.000
6.0000000000e-06, 0.002, 0.176, 0.000
4.0000000000e-06, 0.000, 0.207, 0.000
4.0000000000e-06, 0.000, 0.207, 0.000
5.0000000000e-06, 0.000, 0.207, 0.000
5.0000000000e-06, 0.000, 0.003, 0.000
4.0000000000e-06, 0.000, 0.003, 0.000
4.0000000000e-06, 0.001, 0.094, 0.000
5.0000000000e-06, 0.000, 0.060, 0.000
6.0000000000e-06, 0.001, 0.027, 0.000
5.0000000000e-06, 0.000, 0.131, 0.000
6.0000000000e-06, 0.000, 0.131, 0.000
5.0000000000e-06, 0.000, 0.206, 0.000
5.0000000000e-06, 0.000, 0.005, 0.000
5.0000000000e-06, 0.000, 0.001, 0.000
6.0000000000e-06, 0.000, 0.009, 0.000
5.0000000000e-06, 0.000, 0.004, 0.000
6.0000000000e-06, 0.000, 0.003, 0.000
5.0000000000e-06, 0.000, 0.003, 0.000
5.0000000000e-06, 0.000, 0.002, 0.000
5.0000000000e-06, 0.000, 0.003, 0.000
5.0000000000e-06, 0.000, 0.002, 0.000
5.0000000000e-06, 0.000, 0.002, 0.000
4.0000000000e-06, 0.000, 0.002, 0.000
5.0000000000e-06, 0.000, 0.001, 0.000
4.0000000000e-06, 0.000, 0.002, 0.000
5.0000000000e-06, 0.000, 0.001, 0.000
6.0000000000e-06, 0.000, 0.001, 0.000
4.0000000000e-06, 0.000, 0.000, 0.000
6.0000000000e-06, 0.000, 0.002, 0.000
6.0000000000e-06, 0.000, 0.000, 0.000
5.0000000000e-06, 0.000, 0.001, 0.000
5.0000000000e-06, 0.000, 0.001, 0.000
6.0000000000e-06, 0.000, 0.001, 0.000
5.0000000000e-06, 0.000, 0.000, 0.000
5.0000000000e-06, 0.000, 0.000, 0.000
6.0000000000e-06, 0.000, 0.000, 0.000
5.0000000000e-06, 0.000, 0.000, 0.000
5.0000000000e-06, 0.000, 0.000, 0.000
5.0000000000e-06, 0.000, 0.000, 0.000
5.0000000000e-06, 0.000, 0.000, 0.000
6.0000000000e-06, 0.000, 0.000, 0.000
5.0000000000e-06, 0.000, 0.000, 0.000
4.0000000000e-06, 0.000, 0.000, 0.000
5.0000000000e-06, 0.000, 0.000, 0.000
6.0000000000e-06, 0.000, 0.000, 0.000
7.0000000000e-06, 0.000, 0.000, 0.000
6.0000000000e-06, 0.000, 0.000, 0.000
5.0000000000e-06, 0.000, 0.000, 0.000
5.0000000000e-06, 0.000, 0.000, 0.000
6.0000000000e-06, 0.000, 0.000, 0.000
5.0000000000e-06, 0.000, 0.000, 0.000
5.0000000000e-06, 0.000, 0.000, 0.000
6.0000000000e-06, 0.000, 0.000, 0.000
5.0000000000e-06, 0.000, 0.000, 0.000
5.0000000000e-06, 0.000, 0.000, 0.000
6.0000000000e-06, 0.000, 0.000, 0.000
5.0000000000e-06, 0.000, 0.000, 0.000
4.0000000000e-06, 0.000, 0.000, 0.000
