Time, Velocity, Acceleration, Distance
5.0000000000e-06, 0.750, 9.792, 0.000
5.0000000000e-06, 0.831, 9.792, 0.000
5.0000000000e-06, 1.029, 9.790, 0.000
4.0000000000e-06, 1.111, 9.789, 0.000
5.0000000000e-06, 1.192, 9.788, 0.000
5.0000000000e-06, 1.296, 9.787, 0.000
3.0000000000e-06, 1.377, 9.786, 0.000
4.0000000000e-06, 1.459, 9.785, 0.000
3.0000000000e-06, 1.540, 9.785, 0.000
5.0000000000e-06, 1.635, 9.784, 0.000
3.0000000000e-06, 1.798, 9.782, 0.000
4.0000000000e-06, 1.880, 9.781, 0.000
5.0000000000e-06, 1.962, 9.780, 0.000
5.0000000000e-06, 2.043, 9.779, 0.000
5.0000000000e-06, 2.125, 9.779, 0.000
4.0000000000e-06, 2.287, 9.777, 0.000
5.0000000000e-06, 2.369, 9.776, 0.000
5.0000000000e-06, 2.450, 9.775, 0.000
5.0000000000e-06, 2.532, 9.775, 0.000
4.0000000000e-06, 2.695, 9.774, 0.000
4.0000000000e-06, 2.776, 9.772, 0.000
3.0000000000e-06, 2.858, 9.771, 0.000
4.0000000000e-06, 2.939, 9.770, 0.000
3.0000000000e-06, 3.020, 9.770, 0.000
4.0000000000e-06, 3.183, 9.769, 0.000
4.0000000000e-06, 3.265, 9.767, 0.000
4.0000000000e-06, 3.346, 9.766, 0.000
4.0000000000e-06, 3.427, 9.766, 0.000
4.0000000000e-06, 3.509, 9.765, 0.000
5.0000000000e-06, 3.590, 9.764, 0.000
5.0000000000e-06, 3.753, 9.762, 0.000
5.0000000000e-06, 3.834, 9.762, 0.000
4.0000000000e-06, 3.916, 9.761, 0.000
3.0000000000e-06, 3.997, 9.760, 0.000
5.0000000000e-06, 4.078, 9.759, 0.000
4.0000000000e-06, 4.241, 9.758, 0.000
3.0000000000e-06, 4.322, 9.757, 0.000
5.0000000000e-06, 4.403, 9.756, 0.000
5.0000000000e-06, 4.485, 9.755, 0.000
5.0000000000e-06, 4.566, 9.754, 0.000
5.0000000000e-06, 4.729, 9.753, 0.000
6.0000000000e-06, 4.810, 9.752, 0.000
5.0000000000e-06, 4.891, 9.751, 0.000
4.0000000000e-06, 4.972, 9.750, 0.000
4.0000000000e-06, 5.054, 9.749, 0.000
5.0000000000e-06, 5.216, 9.748, 0.000
5.0000000000e-06, 5.297, 9.747, 0.000
5.0000000000e-06, 5.379, 9.746, 0.000
5.0000000000e-06, 5.460, 9.745, 0.000
3.0000000000e-06, 5.622, 9.744, 0.000
5.0000000000e-06, 5.703, 9.743, 0.000
5.0000000000e-06, 5.785, 9.742, 0.000
5.0000000000e-06, 5.866, 9.741, 0.000
3.0000000000e-06, 5.947, 9.740, 0.000
5.0000000000e-06, 6.028, 9.740, 0.000
4.0000000000e-06, 6.038, 8.552, 0.000
5.0000000000e-06, 5.417, 74.583, 0.000
5.0000000000e-06, 4.841, 69.107, 0.000
5.0000000000e-06, 4.310, 63.625, 0.000
4.0000000000e-06, 3.826, 58.169, 0.000
5.0000000000e-06, 0.287, 373.345, 0.000
4.0000000000e-06, 0.260, 24.279, 0.000
5.0000000000e-06, 0.325, 34.302, 0.000
4.0000000000e-06, 0.198, 18.645, 0.000
5.0000000000e-06, 0.178, 7.746, 0.000
4.0000000000e-06, 0.195, 2.474, 0.000
4.0000000000e-06, 0.202, 1.519, 0.000
5.0000000000e-06, 0.211, 1.619, 0.000
5.0000000000e-06, 0.219, 1.460, 0.000
3.0000000000e-06, 0.226, 1.224, 0.000
3.0000000000e-06, 0.237, 0.916, 0.000
5.0000000000e-06, 0.240, 0.779, 0.000
4.0000000000e-06, 0.243, 0.660, 0.000
5.0000000000e-06, 0.245, 0.561, 0.000
4.0000000000e-06, 0.246, 0.483, 0.000
6.0000000000e-06, 0.245, 0.395, 0.000
3.0000000000e-06, 0.244, 0.383, 0.000
4.0000000000e-06, 0.242, 0.388, 0.000
5.0000000000e-06, 0.240, 0.405, 0.000
5.0000000000e-06, 0.237, 0.427, 0.000
5.0000000000e-06, 0.230, 0.467, 0.000
3.0000000000e-06, 0.226, 0.503, 0.000
5.0000000000e-06, 0.222, 0.581, 0.000
5.0000000000e-06, 0.218, 0.597, 0.000
5.0000000000e-06, 0.213, 0.563, 0.000
4.0000000000e-06, 0.204, 0.589, 0.000
4.0000000000e-06, 0.199, 0.605, 0.000
4.0000000000e-06, 0.194, 0.615, 0.000
3.0000000000e-06, 0.188, 0.621, 0.000
4.0000000000e-06, 0.183, 0.623, 0.000
4.0000000000e-06, 0.173, 0.622, 0.000
4.0000000000e-06, 0.168, 0.619, 0.000
4.0000000000e-06, 0.163, 0.614, 0.000
4.0000000000e-06, 0.158, 0.607, 0.000
5.0000000000e-06, 0.153, 0.603, 0.000
3.0000000000e-06, 0.143, 0.584, 0.000
4.0000000000e-06, 0.139, 0.573, 0.000
3.0000000000e-06, 0.134, 0.564, 0.000
5.0000000000e-06, 0.130, 0.553, 0.000
4.0000000000e-06, 0.125, 0.540, 0.000
4.0000000000e-06, 0.116, 0.516, 0.000
4.0000000000e-06, 0.112, 0.503, 0.000
5.0000000000e-06, 0.108, 0.491, 0.000
3.0000000000e-06, 0.104, 0.478, 0.000
5.0000000000e-06, 0.101, 0.464, 0.000
5.0000000000e-06, 0.093, 0.438, 0.000
5.0000000000e-06, 0.090, 0.426, 0.000
5.0000000000e-06, 0.086, 0.413, 0.000
4.0000000000e-06, 0.083, 0.401, 0.000
5.0000000000e-06, 0.080, 0.388, 0.000
6.0000000000e-06, 0.074, 0.362, 0.000
5.0000000000e-06, 0.071, 0.350, 0.000
5.0000000000e-06, 0.068, 0.338, 0.000
5.0000000000e-06, 0.066, 0.327, 0.000
4.0000000000e-06, 0.063, 0.315, 0.000
5.0000000000e-06, 0.058, 0.294, 0.000
3.0000000000e-06, 0.056, 0.283, 0.000
3.0000000000e-06, 0.054, 0.275, 0.000
5.0000000000e-06, 0.051, 0.262, 0.000
5.0000000000e-06, 0.049, 0.254, 0.000
5.0000000000e-06, 0.045, 0.235, 0.000
4.0000000000e-06, 0.044, 0.226, 0.000
5.0000000000e-06, 0.042, 0.217, 0.000
4.0000000000e-06, 0.040, 0.209, 0.000
4.0000000000e-06, 0.039, 0.202, 0.000
4.0000000000e-06, 0.035, 0.185, 0.000
4.0000000000e-06, 0.034, 0.178, 0.000
5.0000000000e-06, 0.033, 0.170, 0.000
3.0000000000e-06, 0.031, 0.163, 0.000
3.0000000000e-06, 0.030, 0.157, 0.000
5.0000000000e-06, 0.028, 0.145, 0.000
5.0000000000e-06, 0.027, 0.140, 0.000
5.0000000000e-06, 0.025, 0.135, 0.000
5.0000000000e-06, 0.024, 0.128, 0.000
5.0000000000e-06, 0.023, 0.123, 0.000
5.0000000000e-06, 0.022, 0.114, 0.000
5.0000000000e-06, 0.021, 0.109, 0.000
3.0000000000e-06, 0.020, 0.104, 0.000
5.0000000000e-06, 0.019, 0.100, 0.000
5.0000000000e-06, 0.018, 0.096, 0.000
4.0000000000e-06, 0.017, 0.089, 0.000
4.0000000000e-06, 0.016, 0.084, 0.000
4.0000000000e-06, 0.016, 0.082, 0.000
5.0000000000e-06, 0.015, 0.078, 0.000
5.0000000000e-06, 0.014, 0.074, 0.000
5.0000000000e-06, 0.013, 0.070, 0.000
5.0000000000e-06, 0.013, 0.066, 0.000
4.0000000000e-06, 0.012, 0.063, 0.000
5.0000000000e-06, 0.012, 0.061, 0.000
5.0000000000e-06, 0.011, 0.058, 0.000
4.0000000000e-06, 0.010, 0.055, 0.000
5.0000000000e-06, 0.010, 0.051, 0.000
4.0000000000e-06, 0.009, 0.049, 0.000
5.0000000000e-06, 0.009, 0.048, 0.000
4.0000000000e-06, 0.009, 0.045, 0.000
4.0000000000e-06, 0.008, 0.041, 0.000
5.0000000000e-06, 0.008, 0.040, 0.000
4.0000000000e-06, 0.007, 0.043, 0.000
3.0000000000e-06, 0.007, 0.036, 0.000
4.0000000000e-06, 0.007, 0.034, 0.000
4.0000000000e-06, 0.006, 0.036, 0.000
5.0000000000e-06, 0.006, 0.030, 0.000
3.0000000000e-06, 0.004, 0.474, 0.000
5.0000000000e-06, 0.004, 0.069, 0.000
4.0000000000e-06, 0.004, 0.025, 0.000
3.0000000000e-06, 0.003, 0.022, 0.000
5.0000000000e-06, 0.003, 0.020, 0.000
4.0000000000e-06, 0.003, 0.020, 0.000
4.0000000000e-06, 0.003, 0.020, 0.000
4.0000000000e-06, 0.003, 0.016, 0.000
4.0000000000e-06, 0.002, 0.017, 0.000
4.0000000000e-06, 0.002, 0.014, 0.000
4.0000000000e-06, 0.002, 0.013, 0.000
4.0000000000e-06, 0.002, 0.014, 0.000
5.0000000000e-06, 0.002, 0.013, 0.000
3.0000000000e-06, 0.002, 0.012, 0.000
4.0000000000e-06, 0.002, 0.011, 0.000
4.0000000000e-06, 0.002, 0.011, 0.000
4.0000000000e-06, 0.001, 0.010, 0.000
4.0000000000e-06, 0.001, 0.067, 0.000
4.0000000000e-06, 0.001, 0.009, 0.000
4.0000000000e-06, 0.001, 0.009, 0.000
5.0000000000e-06, 0.001, 0.009, 0.000
4.0000000000e-06, 0.001, 0.009, 0.000
4.0000000000e-06, 0.001, 0.007, 0.000
4.0000000000e-06, 0.001, 0.007, 0.000
4.0000000000e-06, 0.001, 0.006, 0.000
4.0000000000e-06, 0.001, 0.007, 0.000
3.0000000000e-06, 0.001, 0.005, 0.000
4.0000000000e-06, 0.001, 0.006, 0.000
5.0000000000e-06, 0.001, 0.005, 0.000
5.0000000000e-06, 0.001, 0.004, 0.000
4.0000000000e-06, 0.001, 0.005, 0.000
6.0000000000e-06, 0.000, 0.004, 0.000
4.0000000000e-06, 0.000, 0.004, 0.000
6.0000000000e-06, 0.000, 0.003, 0.000
5.0000000000e-06, 0.000, 0.004, 0.000
4.0000000000e-06, 0.000, 0.003, 0.000
3.0000000000e-06, 0.000, 0.003, 0.000
4.0000000000e-06, 0.000, 0.003, 0.000
5.0000000000e-06, 0.000, 0.002, 0.000
4.0000000000e-06, 0.000, 0.002, 0.000
3.0000000000e-06, 0.000, 0.003, 0.000
3.0000000000e-06, 0.000, 0.002, 0.000
5.0000000000e-06, 0.000, 0.002, 0.000
5.0000000000e-06, 0.000, 0.002, 0.000
4.0000000000e-06, 0.000, 0.002, 0.000
5.0000000000e-06, 0.000, 0.001, 0.000
4.0000000000e-06, 0.000, 0.002, 0.000
4.0000000000e-06, 0.000, 0.002, 0.000
3.0000000000e-06, 0.000, 0.001, 0.000
4.0000000000e-06, 0.000, 0.002, 0.000
4.0000000000e-06, 0.000, 0.000, 0.000
3.0000000000e-06, 0.000, 0.003, 0.000
5.0000000000e-06, 0.000, 0.001, 0.000
4.0000000000e-06, 0.000, 0.001, 0.000
6.0000000000e-06, 0.000, 0.000, 0.000
4.0000000000e-06, 0.000, 0.002, 0.000
3.0000000000e-06, 0.000, 0.000, 0.000
4.0000000000e-06, 0.000, 0.001, 0.000
4.0000000000e-06, 0.000, 0.001, 0.000
5.0000000000e-06, 0.000, 0.000, 0.000
4.0000000000e-06, 0.000, 0.001, 0.000
5.0000000000e-06, 0.000, 0.000, 0.000
3.0000000000e-06, 0.000, 0.001, 0.000
5.0000000000e-06, 0.000, 0.000, 0.000
4.0000000000e-06, 0.000, 0.000, 0.000
4.0000000000e-06, 0.000, 0.000, 0.000
5.0000000000e-06, 0.001, 0.078, 0.000
4.0000000000e-06, 0.000, 0.095, 0.000
4.0000000000e-06, 0.000, 0.003, 0.000
5.0000000000e-06, 0.000, 0.049, 0.000
4.0000000000e-06, 0.000, 0.054, 0.000
4.0000000000e-06, 0.000, 0.001, 0.000
5.0000000000e-06, 0.000, 0.001, 0.000
4.0000000000e-06, 0.000, 0.001, 0.000
5.0000000000e-06, 0.000, 0.000, 0.000
3.0000000000e-06, 0.000, 0.001, 0.000
3.0000000000e-06, 0.000, 0.001, 0.000
4.0000000000e-06, 0.000, 0.001, 0.000
4.0000000000e-06, 0.000, 0.000, 0.000
5.0000000000e-06, 0.000, 0.001, 0.000
4.0000000000e-06, 0.001, 0.075, 0.000
5.0000000000e-06, 0.000, 0.145, 0.000
7.0000000000e-06, 0.000, 0.001, 0.000
4.0000000000e-06, 0.000, 0.001, 0.000
5.0000000000e-06, 0.000, 0.001, 0.000
5.0000000000e-06, 0.000, 0.001, 0.000
5.0000000000e-06, 0.000, 0.001, 0.000
5.0000000000e-06, 0.000, 0.001, 0.000
3.0000000000e-06, 0.000, 0.001, 0.000
4.0000000000e-06, 0.000, 0.001, 0.000
5.0000000000e-06, 0.000, 0.000, 0.000
4.0000000000e-06, 0.000, 0.002, 0.000
5.0000000000e-06, 0.000, 0.001, 0.000
3.0000000000e-06, 0.000, 0.007, 0.000
5.0000000000e-06, 0.000, 0.008, 0.000
4.0000000000e-06, 0.000, 0.001, 0.000
5.0000000000e-06, 0.000, 0.000, 0.000
5.0000000000e-06, 0.000, 0.001, 0.000
5.0000000000e-06, 0.000, 0.001, 0.000
4.0000000000e-06, 0.000, 0.000, 0.000
5.0000000000e-06, 0.000, 0.001, 0.000
5.0000000000e-06, 0.000, 0.000, 0.000
6.0000000000e-06, 0.000, 0.000, 0.000
3.0000000000e-06, 0.000, 0.000, 0.000
4.0000000000e-06, 0.000, 0.000, 0.000
4.0000000000e-06, 0.000, 0.000, 0.000
5.0000000000e-06, 0.000, 0.000, 0.000
3.0000000000e-06, 0.000, 0.000, 0.000
3.0000000000e-06, 0.000, 0.000, 0.000
5.0000000000e-06, 0.000, 0.001, 0.000
4.0000000000e-06, 0.000, 0.001, 0.000
3.0000000000e-06, 0.000, 0.000, 0.000
5.0000000000e-06, 0.000, 0.001, 0.000
3.0000000000e-06, 0.000, 0.001, 0.000
4.0000000000e-06, 0.000, 0.000, 0.000
5.0000000000e-06, 0.000, 0.001, 0.000
5.0000000000e-06, 0.000, 0.001, 0.000
5.0000000000e-06, 0.000, 0.000, 0.000
4.0000000000e-06, 0.000, 0.000, 0.000
3.0000000000e-06, 0.000, 0.000, 0.000
4.0000000000e-06, 0.000, 0.000, 0.000
5.0000000000e-06, 0.000, 0.000, 0.000
5.0000000000e-06, 0.000, 0.001, 0.000
4.0000000000e-06, 0.000, 0.000, 0.000
3.0000000000e-06, 0.000, 0.000, 0.000
3.0000000000e-06, 0.000, 0.000, 0.000
5.0000000000e-06, 0.000, 0.000, 0.000
4.0000000000e-06, 0.000, 0.000, 0.000
4.0000000000e-06, 0.000, 0.000, 0.000
3.0000000000e-06, 0.000, 0.000, 0.000
3.0000000000e-06, 0.000, 0.000, 0.000
4.0000000000e-06, 0.000, 0.001, 0.000
5.0000000000e-06, 0.000, 0.000, 0.000
5.0000000000e-06, 0.000, 0.001, 0.000
5.0000000000e-06, 0.000, 0.001, 0.000
6.0000000000e-06, 0.000, 0.001, 0.000
4.0000000000e-06, 0.000, 0.001, 0.000
5.0000000000e-06, 0.000, 0.002, 0.000
5.0000000000e-06, 0.000, 0.002, 0.000
4.0000000000e-06, 0.000, 0.001, 0.000
5.0000000000e-06, 0.000, 0.002, 0.000
5.0000000000e-06, 0.000, 0.001, 0.000
5.0000000000e-06, 0.000, 0.001, 0.000
4.0000000000e-06, 0.000, 0.002, 0.000
5.0000000000e-06, 0.000, 0.001, 0.000
4.0000000000e-06, 0.000, 0.002, 0.000
5.0000000000e-06, 0.000, 0.002, 0.000
4.0000000000e-06, 0.000, 0.002, 0.000
4.0000000000e-06, 0.000, 0.001, 0.000
4.0000000000e-06, 0.000, 0.000, 0.000
4.0000000000e-06, 0.000, 0.002, 0.000
4.0000000000e-06, 0.000, 0.000, 0.000
5.0000000000e-06, 0.000, 0.001, 0.000
5.0000000000e-06, 0.000, 0.001, 0.000
5.0000000000e-06, 0.000, 0.000, 0.000
6.0000000000e-06, 0.000, 0.000, 0.000
4.0000000000e-06, 0.000, 0.000, 0.000
4.0000000000e-06, 0.000, 0.000, 0.000
3.0000000000e-06, 0.000, 0.000, 0.000
4.0000000000e-06, 0.000, 0.000, 0.000
4.0000000000e-06, 0.000, 0.000, 0.000
5.0000000000e-06, 0.000, 0.000, 0.000
3.0000000000e-06, 0.000, 0.000, 0.000
5.0000000000e-06, 0.000, 0.000, 0.000
5.0000000000e-06, 0.000, 0.000, 0.000
4.0000000000e-06, 0.000, 0.000, 0.000
4.0000000000e-06, 0.000, 0.000, 0.000
4.0000000000e-06, 0.000, 0.000, 0.000
6.0000000000e-06, 0.000, 0.000, 0.000
5.0000000000e-06, 0.000, 0.000, 0.000
5.0000000000e-06, 0.000, 0.000, 0.000
4.0000000000e-06, 0.000, 0.000, 0.000
6.0000000000e-06, 0.000, 0.000, 0.000
4.0000000000e-06, 0.000, 0.013, 0.000
5.0000000000e-06, 0.000, 0.014, 0.000
4.0000000000e-06, 0.000, 0.000, 0.000
4.0000000000e-06, 0.000, 0.000, 0.000
5.0000000000e-06, 0.001, 0.104, 0.000
3.0000000000e-06, 0.000, 0.001, 0.000
5.0000000000e-06, 0.001, 0.138, 0.000
5.0000000000e-06, 0.000, 0.182, 0.000
4.0000000000e-06, 0.000, 0.003, 0.000
6.0000000000e-06, 0.000, 0.002, 0.000
4.0000000000e-06, 0.001, 0.109, 0.000
4.0000000000e-06, 0.000, 0.134, 0.000
6.0000000000e-06, 0.000, 0.004, 0.000
5.0000000000e-06, 0.000, 0.002, 0.000
4.0000000000e-06, 0.000, 0.002, 0.000
4.0000000000e-06, 0.000, 0.002, 0.000
4.0000000000e-06, 0.000, 0.001, 0.000
5.0000000000e-06, 0.000, 0.002, 0.000
5.0000000000e-06, 0.000, 0.002, 0.000
4.0000000000e-06, 0.000, 0.001, 0.000
4.0000000000e-06, 0.000, 0.001, 0.000
4.0000000000e-06, 0.000, 0.001, 0.000
4.0000000000e-06, 0.000, 0.001, 0.000
